,Count,Name,Representation,Representative_Docs,topic_num,category_grouped,translation
0,3903,0_bedankt_dank_reactie_alvast,"['bedankt', 'dank', 'reactie', 'alvast', 'snelle', 'hoor', 'dankjewel', 'fijne', 'fijn', 'voorbaat']","['Alvast dank voor uw reactie  [PERSOON]', 'Alvast dank voor uw reactie,   [PERSOON]', 'Ik hoor het graag en bedankt voor uw snelle reactie']",0,non-medical,"Topic 0: thanks, thank you, response, in advance"
1,2239,1_prikken_ontlasting_bloed_ingeleverd,"['prikken', 'ontlasting', 'bloed', 'ingeleverd', 'laten', 'inleveren', 'bloedprikken', 'geprikt', 'uitslag', 'leveren']","['Beste,  Donderdag 20-1 heb ik ontlasting ingeleverd en bloed laten prikken.', 'Hallo,  Ik heb 2 weken geleden ontlasting ingeleverd en bloed laten prikken.', 'Maandag 2 mei heb ik bloed laten prikken en ontlasting ingeleverd.']",1,medical,"Topic 1: pricking, stool, blood, handed in"
2,1847,2_telefonisch_bellen_gebeld_contact,"['telefonisch', 'bellen', 'gebeld', 'contact', 'bereikbaar', 'consult', 'telefonische', 'belafspraak', 'telefoon', 'nummer']","['Hallo,  Ik had graag telefonisch contact gehad met jullie.', 'Hallo [PERSOON]/[PERSOON] N.a.v.telefonisch contact afgelopen vrijdag ben ik naar het aan geweest.', 'Mocht U toch nog telefonisch contact met mij willen hebben dan ben ik gewoon bereikbaar onder nummer [TELEFOONNUMMER] Met vriendelijke groet, [PERSOON]']",2,non-medical,"Topic 2: telephone, calling, called, contact"
3,1809,3_pijn_buik_buikpijn_last,"['pijn', 'buik', 'buikpijn', 'last', 'krampen', 'gevoel', 'onderbuik', 'nacht', 'rug', 'gewrichten']","['Geen pijn meer in.', 'Beste,  Sinds deze week heb ik veel last van mijn buik.', 'Dit is ondoenlijk van wege de pijn!']",3,medical,"Topic 3: pain, abdomen, abdominal pain, discomfort"
4,1799,4_slijm_toilet_ontlasting_bloed,"['slijm', 'toilet', 'ontlasting', 'bloed', 'keer', 'soms', 'zit', 'vaker', 'bloedverlies', 'aandrang']","['Ik heb ook weer bloed en slijm bij de ontlasting en meer luchtophopingen.', 'Ik heb eigenlijk nooit veel bloed of slijm bij mijn ontlasting gehad.', 'Buikpijn, slijm en bloed bij ontlasting, vaker naar het toilet per dag.']",4,medical,"Topic 4: mucus, toilet, stool, blood"
5,1791,5_afspraak_poli_gepland_staan,"['afspraak', 'poli', 'gepland', 'staan', 'datum', 'afspraken', 'plannen', 'verzetten', 'staat', 'agenda']","['17/2 is n poli afspraak weer gepland.', 'beste, ik heb 30 maart een afspraak op de poli bij [PERSOON].', 'Ik heb morgenvrowg een afspraak op de poli']",5,non-medical,"Topic 5: appointment, outpatient clinic, scheduled, set"
6,1500,6_uitslag_uitslagen_bekend_bloeduitslagen,"['uitslag', 'uitslagen', 'bekend', 'bloeduitslagen', 'spiegel', 'resultaten', 'hiervan', 'bloeduitslag', 'benieuwd', 'bloedwaarden']","['Is er al bekend de uitslagen Groethes', 'Zijn er al uitslagen bekend?', 'Zijn hier al de uitslagen van bekend?']",6,medical,"Topic 6: result, results, known, blood results"
7,1332,7_apotheek_recept_locatie_sturen,"['apotheek', 'recept', 'locatie', 'sturen', 'nieuw', 'faxen', 'zorginstelling', 'herhaalrecept', 'recepten', 'ophalen']","['Graag recept naar apotheek Céramique [LOCATIE].', 'Graag recept naar Apotheek [LOCATIE].', 'Het recept mag naar apotheek [LOCATIE].']",7,non-medical,"Topic 7: pharmacy, prescription, location, send"
8,1264,8_brief_ontvangen_mail_post,"['brief', 'ontvangen', 'mail', 'post', 'bericht', 'gestuurd', 'sturen', 'ophalen', 'verstuurd', 'email']","['bericht ontvangen!', 'Ik zou daar een E.-mail over ontvangen.', 'Beste [PERSOON],  Tot op hebben heb ik geen brief mogen ontvangen.']",8,non-medical,"Topic 8: letter, received, mail, post"
9,1064,9_humira_spuit_spuiten_injectie,"['humira', 'spuit', 'spuiten', 'injectie', 'zetten', 'hyrimoz', 'gezet', 'injecties', 'gespoten', 'gebruik']","['Kan dit te maken hebben met de Humira?', 'Dit alles had ik bij de humira niet.', 'Ik kan elke week humira niet aan.']",9,medical,"Topic 9: Humira, syringe, injecting, injection"
10,992,10_huisarts_arts_dokter_mdl,"['huisarts', 'arts', 'dokter', 'mdl', 'afspraak', 'contact', 'medische', 'bespreken', 'behandeling', 'artsen']","['Hallo [PERSOON], Ja via de huisarts.', 'Zou ik naar de huisarts moeten?', 'Ik heb woensdag een afspraak bij de huisarts.']",10,medical,"Topic 10: general practitioner, doctor, physician, gastroenterologist"
11,846,11_formulieren_formulier_potje_lab,"['formulieren', 'formulier', 'potje', 'lab', 'papieren', 'prikken', 'sturen', 'ontvangen', 'toestemmingsformulier', 'toesturen']","['Ik heb namelijk geen formulieren.', 'Ik heb namelijk hier geen formulieren meer voor.', 'Ik heb dus geen formulieren meer.']",11,non-medical,"Topic 11: forms, form, sample jar, lab"
12,844,12_medicatie_medicijnen_medicijn_stoppen,"['medicatie', 'medicijnen', 'medicijn', 'stoppen', 'gebruik', 'medicijngebruik', 'gebruiken', 'nieuwe', 'starten', 'kuur']","['Kan dit Met de medicatie te maken hebben?', 'Ik vroeg me af of dit met de medicatie te maken heeft?', 'Kan dit iets te maken hebben met mijn medicatie.']",12,medical,"Topic 12: medication, medicines, drug, stopping"
13,811,13_calprotectine_waarde_waardes_crp,"['calprotectine', 'waarde', 'waardes', 'crp', 'hoog', 'waarden', 'gemeten', 'test', 'thuistest', 'ontstekingswaarde']","['Wat was de waarde van de calprotectine?', 'En de  Calprotectine.', 'En de calprotectine?']",13,medical,"Topic 13: calprotectin, value, values, CRP"
14,801,14_mee_hiermee_weet_hieraan,"['mee', 'hiermee', 'weet', 'hieraan', 'geregeld', 'probleem', 'oorzaak', 'verstandig', 'klopt', 'bedoeling']","['Wat moet ik hier nu mee ?', 'wat moet ik hier nu mee doen?', 'Ik weet niet of we hier verder iets mee moeten?']",14,non-medical,"Topic 14: with, with this, know, about this"
15,717,15_test_app_quanton_cal,"['test', 'app', 'quanton', 'cal', 'calpro', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuistesten']","['Ik heb dus geen test kunnen doen.', 'Ik heb nog een test.', 'Wanneer moet ik z’n test doen?']",15,non-medical,"Topic 15: test, app, Quanton, cal"
16,717,16_infuus_infliximab_vedolizumab_remicade,"['infuus', 'infliximab', 'vedolizumab', 'remicade', 'entyvio', 'volgende', 'remsima', 'vedoluzimab', 'krijg', 'infuuscentrum']","['Tijdens het infuus.', 'Kan ik dan mijn infuus nog een week opschuiven?', 'Dit is dan voor en na het infuus.']",16,medical,"Topic 16: infusion, infliximab, vedolizumab, Remicade"
17,636,17_gaat_beter_goed_slechter,"['gaat', 'beter', 'goed', 'slechter', 'ging', 'gelukkig', 'blij', 'vanzelf', 'prima', 'rustig']","['Het gaat redelijk goed met mij.', 'Ja, het gaat wel goed.', 'Er gaat e.e.a. niet goed.']",17,medical,"Topic 17: goes, better, good, worse"
18,560,18_hoop_wacht_afwachten_hoogte,"['hoop', 'wacht', 'afwachten', 'hoogte', 'voldoende', 'hopelijk', 'snel', 'hopende', 'weten', 'wachten']","['Ik hoop het wel.', 'Ik hoop in de derde week van november.', 'ik hoop dat het eerder kan, ik wacht het af.']",18,non-medical,"Topic 18: hope, wait, awaiting, height"
19,515,19_koorts_hoesten_keel_keelpijn,"['koorts', 'hoesten', 'keel', 'keelpijn', 'verhoging', 'temperatuur', 'griep', 'verkouden', 'verkoudheid', 'hoest']","['Dus geen koorts.', 'Ik heb geen koorts.', 'Ook had ik hier koorts bij.']",19,medical,"Topic 19: fever, coughing, throat, sore throat"
20,472,20_tabletten_dosis_tablet_dosering,"['tabletten', 'dosis', 'tablet', 'dosering', 'daags', 'innemen', 'gebruiken', 'voorgeschreven', 'slik', 'gram']","['Deze tabletten zijn namelijk op.', 'Ik heb nog 24 tabletten.', 'Mijn tabletten zijn bijna op.']",20,medical,"Topic 20: tablets, dose, tablet, dosage"
21,450,21_eten_eet_misselijk_eetlust,"['eten', 'eet', 'misselijk', 'eetlust', 'voeding', 'gegeten', 'overgeven', 'misselijkheid', 'lactose', 'drinken']","['Meestal na het eten.', 'Wat mag ik wel/ niet eten?', 'ook na het eten.']",21,medical,"Topic 21: eating, eat, nauseous, appetite"
22,443,22_crohn_colitis_ziekte_ulcerosa,"['crohn', 'colitis', 'ziekte', 'ulcerosa', 'colitus', 'bechterew', 'rustig', 'reuma', 'medicatie', 'collitis']","['Zou het kunnen dat dit te maken heeft met Crohn?', 'Zou het van de Crohn kunnen zijn.', 'Kan ik dit gewoon nemen of doet dit ook iets aan de crohn.']",22,medical,"Topic 22: Crohn’s, colitis, disease, ulcerative"
23,428,23_ziekenhuis_opgenomen_locatie_langs,"['ziekenhuis', 'opgenomen', 'locatie', 'langs', 'huis', 'komen', 'morgen', 'hulp', 'verhuisd', 'lig']","['Moet woensdag namelijk ook al weer naar t ziekenhuis.', 'Moet ik dan naar het ziekenhuis.', 'Dan ben ik maandag gewoon in het ziekenhuis.']",23,medical,"Topic 23: hospital, admitted, location, visit"
24,414,24_klachten_verergerd_erger_verminderd,"['klachten', 'verergerd', 'erger', 'verminderd', 'contact', 'toenemen', 'verergeren', 'verminderen', 'toename', 'verbeterd']","['Ik heb verder geen klachten.', 'Ik heb ook klachten.', 'Klachten zijn nog hetzelfde.']",24,medical,"Topic 24: complaints, worsened, worse, reduced"
25,404,25_prednison_prednisolon_afgebouwd_afbouwschema,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwschema', 'afbouwen', 'starten', 'gebruik', 'gestart', 'slikken', 'kuur']","['t/m 22-08 prednison 71/2 v.a.', 'Ik neem nog 10 mg prednison.', 'ik heb 10 dagen prednison gehad.']",25,medical,"Topic 25: prednisone, prednisolone, tapered, tapering schedule"
26,349,26_endoscopie_coloscopie_colonscopie_gastroscopie,"['endoscopie', 'coloscopie', 'colonscopie', 'gastroscopie', 'gepland', 'afdeling', 'ondergaan', 'staat', 'afspraak', 'datum']","['Beste   ik heb 9 september a.s. een endoscopie bij [PERSOON].', 'Op 19 juni heb ik een endoscopie gehad.', 'Ik heb 7 April een endoscopie gehad.']",26,medical,"Topic 26: endoscopy, colonoscopy, colonscopy, gastroscopy"
27,330,27_darmen_darm_darmklachten_dikke,"['darmen', 'darm', 'darmklachten', 'dikke', 'last', 'rustig', 'laatste', 'slokdarm', 'onrustig', 'merk']","['Ik heb sinds een week of twee/drie meer last van mijn darmen.', 'Ik heb de afgelopen dagen steeds meer last van mijn darmen.', 'Ik heb geen last van mijn darmen.']",27,medical,"Topic 27: intestines, bowel, bowel complaints, colon"
28,317,28_lang_maanden_jaar_wachten,"['lang', 'maanden', 'jaar', 'wachten', 'duurt', 'duren', 'periode', 'interval', 'minuten', 'tijd']","['Is dat niet erg lang wachten ?', 'Dit door te lang te wachten.', 'Is dat niet te lang?']",28,non-medical,"Topic 28: long, months, year, waiting"
29,306,29_operatie_chirurg_geopereerd_chirurgie,"['operatie', 'chirurg', 'geopereerd', 'chirurgie', 'anesthesist', 'anesthesie', 'opereren', 'gesprek', 'plaatsvinden', 'narcose']","['Graag zou ik nu weten wat dat voor een operatie zou zijn.', 'Nu hoor ik net dat mijn operatie pas over 3 weken.', 'Hoi [PERSOON] of [PERSOON] afgelopen maandag mijn operatie gehad.']",29,medical,"Topic 29: operation, surgeon, operated, surgery"
30,293,30_gebeurd_helaas_oplossen_gelukt,"['gebeurd', 'helaas', 'oplossen', 'gelukt', 'heden', 'geval', 'probleem', 'oplossing', 'hiervan', 'lossen']","['Dit is tot op heden nog steeds niet gebeurd.', 'Tot op heden is dat nog niet gebeurd.', 'Helaas is dat niet gebeurd.']",30,medical,"Topic 30: happened, unfortunately, solve, succeeded"
31,291,31_huid_gezicht_jeuk_rode,"['huid', 'gezicht', 'jeuk', 'rode', 'jeukt', 'bultjes', 'vlekken', 'rood', 'benen', 'plek']","['Verder heb ik een ontzettend droge huid gekregen vooral mijn gezicht en hals.', 'Ik heb sinds een paar weken last van jeuk in mijn gezicht voorhoofd , kaaklijn dit worden uiteindelijk rode bultjes .', 'Daarnaast merk ik op dat ik op mijn huid wat uitslag heb en sinds kort rode vlekken in mijn gezicht begin te krijgen.']",31,medical,"Topic 31: skin, face, itch, red"
32,283,32_vraag_vragen_vraagje_vraagjes,"['vraag', 'vragen', 'vraagje', 'vraagjes', 'daarnaast', 'tweetal', 'vandaar', 'hallo', 'aantal', 'stellen']","['Verder heb ik nog een vraag.', 'Verder heb ik zelf nog een vraag.', 'Verder heb ik nog een vraag.']",32,medical,"Topic 32: question, questions, little question, queries"
33,281,33_zwanger_gynaecoloog_zwangerschap_bevallen,"['zwanger', 'gynaecoloog', 'zwangerschap', 'bevallen', 'miskraam', 'zwangerschapstest', 'verloskundige', 'bevalling', 'ongesteld', 'dochter']","['Ik ben donderdag 32 weken zwanger.', 'Ook nu ik bijna 34 weken zwanger ben.', 'Over 2 weken (week 25) ben ik weer 8 weken zwanger.']",33,medical,"Topic 33: pregnant, gynecologist, pregnancy, delivery"
34,275,34_advies_adviseren_graag_tips,"['advies', 'adviseren', 'graag', 'tips', 'beste', 'adviezen', 'raad', 'hiermee', 'geven', 'raden']","['Graag jullie advies over wat te doen.', 'Ik zou graag advies willen.', 'graag uw advies.']",34,medical,"Topic 34: advice, advise, gladly, tips"
35,267,35_vaccinatie_vaccin_vaccinaties_covid,"['vaccinatie', 'vaccin', 'vaccinaties', 'covid', 'vaccineren', 'gevaccineerd', 'immuunsysteem', 'pfizer', 'mensen', 'astrazeneca']","['Zaterdag krijg ik mijn vaccinatie met Astra Zenica.', 'Ja, de vaccinatie inderdaad', '12 mei heb ik mijn tweede vaccinatie met het Moderna vaccin in het [ZIEKENHUIS].']",35,medical,"Topic 35: vaccination, vaccine, vaccinations, COVID"
36,263,36_voel_slecht_echt_voelde,"['voel', 'slecht', 'echt', 'voelde', 'lekker', 'beter', 'voelen', 'goed', 'moedeloos', 'ziek']","['Verder voel ik me goed!', 'Verder voel ik mij goed.', 'Ik voel me redelijk.']",36,medical,"Topic 36: feel, bad, really, felt"
37,261,37_vakantie_vertrek_nederland_reizen,"['vakantie', 'vertrek', 'nederland', 'reizen', 'terug', 'zuid', 'afrika', 'gaan', 'rijden', 'griekenland']","['Ga 5 oktober voor een week op vakantie.', 'Ik ga vrijdag namelijk op vakantie.', 'Over drie weken ga ik met vakantie naar Kirgizië.']",37,non-medical,"Topic 37: holiday, departure, Netherlands, travel"
38,247,38_purinethol_puri_nethol_nieuw,"['purinethol', 'puri', 'nethol', 'nieuw', 'recept', 'herhaalrecept', 'aanvragen', 'allopurinol', 'apotheek', 'herhaal']","['Goedemorgen graag zou ik een nieuw recept van de Puri-Nethol ontvangen.', 'Hallo,  Ik wil graag weer een nieuw recept puri-nethol vragen.', '2. mag ik weer een nieuw recept hebben voor Puri-Nethol.']",38,medical,"Topic 38: Purinethol, puri, nethol, new"
39,240,39_ibd_periodieke_ibdcoach_gezondheidscheck,"['ibd', 'periodieke', 'ibdcoach', 'gezondheidscheck', 'check', 'vragenlijst', 'vullen', 'invullen', 'ingevuld', 'team']","['Hallo IBD Coach, ik heb op 18 oktober j.l.', 'Beste ibd coach,  Op 7 aug.j.l.', 'Mag via de IBD-coach.']",39,medical,"Topic 39: IBD, periodic, IBD coach, health check"
40,238,40_vitamine_foliumzuur_vitamines_multivitamine,"['vitamine', 'foliumzuur', 'vitamines', 'multivitamine', 'vit', 'doorsturen', 'mtx', 'spuiten', 'spuit', 'calcium']","['vitamine B12 in (25 ug).', 'Ik heb foliumzuur nodig ipv vitamine b tabletten.', 'En foliumzuur en vitamine b12 etc?']",40,medical,"Topic 40: vitamin, folic acid, vitamins, multivitamin"
41,231,41_werk_werken_werkgever_thuis,"['werk', 'werken', 'werkgever', 'thuis', 'stage', 'school', 'baan', 'onderwijs', 'uren', 'gaan']","['Ik werk in het basisonderwijs.', 'Wel ben ik weer meer aan het werk in mijn horecazaak.', 'Ik werk namelijk van ma t/m vr.']",41,non-medical,"Topic 41: work, working, employer, home"
42,230,42_besproken_vreemd_vraag_keuze,"['besproken', 'vreemd', 'vraag', 'keuze', 'navragen', 'begrepen', 'medewerker', 'opvolger', 'wilt', 'kort']","['(dit heb ik reeds besproken met [PERSOON])  Vraag: Kan ik hier zsm mee beginnen?', 'Wat vreemd, [PERSOON] heeft dit wel altijd besproken met de afdeling.', 'Hallo,  Hebben jullie mijn vraag bij [PERSOON] al besproken?']",42,medical,"Topic 42: discussed, strange, question, choice"
43,211,43_darmonderzoek_darm_maagonderzoek_onderzoek,"['darmonderzoek', 'darm', 'maagonderzoek', 'onderzoek', 'dikke', 'darmen', 'gepland', 'maag', 'darmspecialist', 'dunne']","['Beste,   Afgelopen vrijdag heb ik een darmonderzoek gehad.', 'Ook al heb ik dan het darmonderzoek nog niet gehad?', '9 september heb ik een darmonderzoek.']",43,medical,"Topic 43: bowel examination, intestine, stomach examination, investigation"
44,208,44_pentasa_granulaat_zetpillen_korrels,"['pentasa', 'granulaat', 'zetpillen', 'korrels', 'pentaza', 'gram', 'recept', 'herhaalrecept', 'sachet', 'gebruik']","['Ik zou graag een nieuw recept willen voor de pentasa 1 x 4 g per dag.', 'Graag had ik weer een nieuw herhaar recept Pentasa 2gr [PERSOON]', 'Pentasa granulated 2gr [PERSOON]']",44,medical,"Topic 44: Pentasa, granules, suppositories, pellets"
45,204,45_antibiotica_kuur_antibioticakuur_bacterie,"['antibiotica', 'kuur', 'antibioticakuur', 'bacterie', 'probiotica', 'voorgeschreven', 'gekregen', 'antibioticum', 'infectie', 'wand']","['Hoi [PERSOON],  ik ben bij de huisarts geweest en heb een antibiotica kuur van 5 dagen gekregen.', 'Ik heb antibiotica gekregen.', 'Nee geen antibiotica kuur gehad.']",45,medical,"Topic 45: antibiotics, course, antibiotic treatment, bacteria"
46,200,46_diarree_buikgriep_buikpijn_overgeven,"['diarree', 'buikgriep', 'buikpijn', 'overgeven', 'water', 'last', 'flinke', 'remmer', 'griep', 'overgegeven']","['En heb nog diarree.', 'Ik ga nu de elfde dag met onverminderde diarree in; ik ben nu ca.', 'Af en toe heb ik ook wat diarree.']",46,medical,"Topic 46: diarrhea, stomach flu, abdominal pain, vomiting"
47,199,47_melden_doorgeven_wilde_weten,"['melden', 'doorgeven', 'wilde', 'weten', 'bespreken', 'laten', 'hoeft', 'meld', 'laat', 'graag']","['Ik wilde dit even melden.', 'Ik wilde dit wel melden', ', maar wilde dit toch even aan je melden.']",47,non-medical,"Topic 47: report, pass on, wanted, know"
48,196,48_mri_scan_uitslag_gemaakt,"['mri', 'scan', 'uitslag', 'gemaakt', 'gepland', 'datum', 'ingepland', 'scannen', 'bespreken', 'plaats']","['Uitslag mri scan.', 'Hallo [PERSOON]/[PERSOON]  Ik heb op 8 april a.s een MRI scan.', 'Beste [PERSOON]/[PERSOON],  ik heb a.s. donderdag 12 aug. een Mri scan.']",48,medical,"Topic 48: MRI, scan, result, made"
49,194,49_moe_energie_vermoeid_voel,"['moe', 'energie', 'vermoeid', 'voel', 'merk', 'extreem', 'ziek', 'uitgeput', 'energielevel', 'doodmoe']","['Weinig energie en moe.', 'Ben wel wat moe/weinig energie maar dat kan ook door de hitte zijn he..  [PERSOON]', 'Beste,   De laatste tijd heb ik weinig energie en voel ik me vaak moe.']",49,medical,"Topic 49: tired, energy, fatigued, feel"
50,191,50_onderzoek_bevolkingsonderzoek_darmkanker_onderzoeken,"['onderzoek', 'bevolkingsonderzoek', 'darmkanker', 'onderzoeken', 'meedoen', 'mee', 'meegedaan', 'deelname', 'studie', 'roesje']","['Zou graag mijn bijdrage aan dit onderzoek willen doen.', 'Zelf zou ik graag een onderzoek willen en welke maakt mij niet uit.', 'Wat heeft dit onderzoek uitgewezen?']",50,medical,"Topic 50: screening, population screening, bowel cancer, examinations"
51,188,51_omeprazol_esomeprazol_daags_chew,"['omeprazol', 'esomeprazol', 'daags', 'chew', 'calci', 'sulfasalazine', 'stuks', 'pantoprazol', 'capsules', 'tablet']","['* Omeprazol 20 mg 1 x daags 1 * Calci chew D3 500 mg/800 I.E.', '* Omeprazol 20 mg 1 x daags 1 * Calci chew D3 500 mg/800 I.E.', '* Omeprazol 20 mg 1 x daags 1 * Calci chew D3 500 mg/800 I.E.']",51,medical,"Topic 51: omeprazole, esomeprazole, daily, chew"
52,172,52_klysma_klysmas_schuimklysma_gebruikt,"['klysma', 'klysmas', 'schuimklysma', 'gebruikt', 'gebruiken', 'klisma', 'budenofalk', 'salofalk', 'proberen', 'clisma']","['Volgens recept moet ik nu om de dag een klysma nemen.', 'Bijv klysma’s of iets anders?', 'Ik ben 2 weken klysma vrij.']",52,medical,"Topic 52: enema, enemas, foam enema, used"
53,166,53_paracetamol_tramadol_amitriptyline_helpt,"['paracetamol', 'tramadol', 'amitriptyline', 'helpt', 'ibuprofen', 'pijn', 'onderdrukken', 'pijnstiller', 'gebruik', 'slik']","['En is er, buiten paracetamol, iets tegen de pijn te doen?', 'mag ik paracetamol/ibubrofen?', '[PERSOON] iedere dag vier paracetamol van 500mg.']",53,medical,"Topic 53: paracetamol, tramadol, amitriptyline, helps"
54,163,54_ijzer_ijzerinfuus_ijzergehalte_ijzertekort,"['ijzer', 'ijzerinfuus', 'ijzergehalte', 'ijzertekort', 'laag', 'tekort', 'infuus', 'ijzertabletten', 'gehalte', 'waardes']","['Als het ijzer te laag wordt, heeft [PERSOON] me de vorige keer een ijzer infuus voorgeschreven.', 'Ik heb vorige week mijn ijzer infuus gehad.', 'Hallo,   Op 6 augustus heb ik mijn ijzer infuus gehad.']",54,medical,"Topic 54: iron, iron infusion, iron level, iron deficiency"
55,157,55_corona_positief_getest_virus,"['corona', 'positief', 'getest', 'virus', 'covid', 'negatief', 'vaccinatie', 'vaccin', 'test', 'besmetting']","['Ik ben positief getest op corona.', 'Overigens ben ik op 30/12 positief getest op corona.', 'Ik ben positief getest op corona.']",55,medical,"Topic 55: corona, positive, tested, virus"
56,153,56_zetpillen_pillen_herhaal_gebruiken,"['zetpillen', 'pillen', 'herhaal', 'gebruiken', 'gebruik', 'herhaalrecept', 'recept', 'gestopt', 'goedemorgen', 'voorgeschreven']","['Daarna weer zetpillen ?', 'Mijn zetpillen zijn bijna op.', 'Nu zijn de zetpillen bijna op.']",56,medical,"Topic 56: suppositories, pills, repeat, use"
57,150,57_adres_locatie_mailadres_gewijzigd,"['adres', 'locatie', 'mailadres', 'gewijzigd', 'emailadres', 'verhuisd', 'oude', 'verhuizing', 'ziekenhuis', 'doorgestuurd']","['Mijn nieuwe adres is :[LOCATIE]                                        [LOCATIE].', 'Het nieuwe adres is [LOCATIE], [LOCATIE].', 'Mijn adres is: [LOCATIE]-2  [LOCATIE].']",57,non-medical,"Topic 57: address, location, email address, changed"
58,142,58_urine_blaasontsteking_blaas_nier,"['urine', 'blaasontsteking', 'blaas', 'nier', 'galblaas', 'nieren', 'urinekweek', 'kweek', 'huisarts', 'urineweginfectie']","['28 september bij huisarts geweest, bloed in urine.', 'Wat kan ik het beste nemen tegen deze ontsteking, mocht er in urine toch blaasontsteking aangetoond worden?', 'Ben vanmorgen urine laten controleren bij de huisarts, konden nog geen blaasontsteking vinden maar wel bloed in urine gedetecteerd.']",58,medical,"Topic 58: urine, bladder infection, bladder, kidney"
59,136,59_controle_afspraak_controles_controlestrook,"['controle', 'afspraak', 'controles', 'controlestrook', 'jaarlijkse', 'komen', 'jaar', 'gemaakt', 'controleer', 'afdeling']","['Moet in februari pas weer op controle.', 'Afgelopen maandag nog op controle geweest bij [PERSOON].', 'Vervolgens ben ik op 12 juni op controle geweest bij [PERSOON].']",59,non-medical,"Topic 59: checkup, appointment, controls, control strip"
60,136,60_anus_fistel_abces_pijn,"['anus', 'fistel', 'abces', 'pijn', 'gevoel', 'branderig', 'endeldarm', 'pijnlijke', 'fistels', 'vagina']","['Dit zou ik namelijk wel willen gezien ook de pijn aan de anus.', 'Beste,  ik heb een vraag m.b.t. mijn anus.', 'Een worm bij mijn anus.']",60,medical,"Topic 60: anus, fistula, abscess, pain"
61,135,61_mogelijk_mogelijkheden_hoor_graag,"['mogelijk', 'mogelijkheden', 'hoor', 'graag', 'optie', 'alternatief', 'verneem', 'termijn', 'korte', 'opgezocht']","['Is dit mogelijk?', 'Is dit mogelijk?', 'Zou dit mogelijk zijn?']",61,medical,"Topic 61: possible, possibilities, hear, gladly"
