Topic,Count,Name,Representation,Frequency (%),Translation,Label,Note for labeling rationale
32,2868,32_vriendelijke_groet_groeten_vriendelijk,"['vriendelijke', 'groet', 'groeten', 'vriendelijk', 'hartelijke', 'geb', 'groetjes', 'afwachting', 'bvd', 'contactpersoon']",5.91,"['kind', 'regards', 'greetings', 'friendly', 'kindly', 'regards_abbrev', 'cheers', 'awaiting', 'thanks_in_advance', 'contact_person']",Non-Medical,Closing remarks
0,1484,0_ontlasting_ingeleverd_inleveren_bloed,"['ontlasting', 'ingeleverd', 'inleveren', 'bloed', 'prikken', 'uitslag', 'laten', 'leveren', 'bloedprikken', 'buisje']",3.06,"['stool sample', 'submitted', 'submit', 'blood', 'blood draw', 'result', 'have done', 'submit', 'blood draw', 'collection tube']",Medical,Stool and blood tests
1,1315,1_bellen_bereikbaar_telefonisch_gebeld,"['bellen', 'bereikbaar', 'telefonisch', 'gebeld', 'contact', 'belafspraak', 'nummer', 'telefonische', 'telefoon', 'opnemen']",2.71,"['call', 'reachable', 'by phone', 'called', 'contact', 'call appointment', 'phone number', 'telephone', 'phone', 'pick up']",Non-Medical,Contact
2,1292,2_recept_apotheek_sturen_nieuw,"['recept', 'apotheek', 'sturen', 'nieuw', 'faxen', 'herhaalrecept', 'herhaal', 'doorsturen', 'ophalen', 'recepten']",2.66,"['prescription', 'pharmacy', 'send', 'location', 'new', 'fax', 'repeat prescription', 'repeat', 'forward', 'collect']",Non-medical,Repeat prescription
3,1086,3_medicatie_medicijnen_medicijn_bijwerkingen,"['medicatie', 'medicijnen', 'medicijn', 'bijwerkingen', 'kuur', 'gebruiken', 'stoppen', 'gebruik', 'voorgeschreven', 'medicijngebruik']",2.24,"['medication', 'medicines', 'medicine', 'side effects', 'treatment course', 'use', 'stop', 'medication use', 'prescribed', 'medication use']",Medical,Medication
78,1017,78_groeten_groet_groetjes_will,"['groeten', 'groet', 'groetjes', 'will', 'merci', 'wijsheid', 'paffen', 'schoonzus', 'groetje', 'geb']",2.1,"['greetings', 'regards', 'cheers', 'will', 'merci', 'wisdom', 'paffen', 'sister_in_law', 'greeting_alt', 'gb']",Non-Medical,Greetings
4,1004,4_afspraak_staan_afspraken_gepland,"['afspraak', 'staan', 'afspraken', 'gepland', 'verzetten', 'plannen', 'nieuwe', 'agenda', 'gemaakt', 'inplannen']",2.07,"['appointment', 'listed', 'appointments', 'scheduled', 'reschedule', 'schedule', 'new', 'agenda', 'made', 'plan']",Non-Medical,Appointments
6,977,6_gaat_beter_goed_slechter,"['gaat', 'beter', 'goed', 'slechter', 'ging', 'gelukkig', 'helemaal', 'rustig', 'komt', 'gebeurd']",2.01,"['goes', 'better', 'well', 'worse', 'went', 'fortunately', 'completely', 'calm', 'comes', 'happened']",Medical,Likely health update
5,946,5_huisarts_dokter_arts_contact,"['huisarts', 'dokter', 'arts', 'contact', 'medische', 'afspraak', 'behandelend', 'huisartsenpost', 'bespreken', 'opnemen']",1.95,"['general practitioner', 'doctor', 'physician', 'contact', 'medical', 'appointment', 'treating physician', 'after-hours clinic', 'discuss', 'contact']",Medical,Doctor visit
150,830,150_groetjes_liefs_smart_lachen,"['groetjes', 'liefs', 'smart', 'lachen', 'boden', 'typ', 'hetvolgende', 'miranda', 'vergelijk', 'beangstigend']",1.71,"['greetings', 'love', 'smart', 'laughing', 'boden', 'type', 'the_following', 'miranda', 'compare', 'frightening']",Non-Medical,Greetings
9,795,9_mogelijk_bedoeling_mee_optie,"['mogelijk', 'bedoeling', 'mee', 'optie', 'klopt', 'geregeld', 'reden', 'oorzaak', 'komt', 'mogelijkheden']",1.64,"['possible', 'intention', 'with', 'option', 'correct', 'arranged', 'reason', 'cause', 'comes', 'problem']",Medical,Asking for advice
8,693,8_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'voren', 'laat']",1.43,"['blood draw', 'blood', 'have done', 'blood draw', 'blood drawn', 'blood drawn', 'hospital', 'go', 'before', 'have done']",Medical,Blood tests
11,652,11_hoi_prima_fijn_hallo,"['hoi', 'prima', 'fijn', 'hallo', 'bedankt', 'oke', 'bericht', 'dankjewel', 'dank', 'groetjes']",1.34,"['hi', 'fine', 'nice', 'hello', 'thanks', 'okay', 'message', 'thank you', 'thanks', 'greetings']",Non-Medical,Greetings
7,642,7_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'gebruik', 'gespoten', 'spiegel', 'prik', 'injecties']",1.32,"['humira', 'pen', 'inject', 'inject', 'injection', 'use', 'injected', 'drug level', 'shot', 'injections']",Medical,Injection
54,638,54_hoor_graag_groetjes_groet,"['hoor', 'graag', 'groetjes', 'groet', 'vriendelijke', 'hoop', 'horen', 'hoogte', 'groeten', 'vernemen']",1.32,"['hear', 'please', 'greetings', 'regards', 'kind', 'hope', 'hear_back', 'updated', 'greetings', 'let_me_know']",Non-Medical,Greetings
14,638,14_mail_ontvangen_bericht_sturen,"['mail', 'ontvangen', 'bericht', 'sturen', 'post', 'gestuurd', 'email', 'verstuurd', 'opsturen', 'versturen']",1.32,"['mail', 'receive', 'message', 'send', 'post', 'sent', 'email', 'sent', 'send', 'send']",Non-Medical,Mail communication
40,598,40_bedankt_dank_alvast_dankjewel,"['bedankt', 'dank', 'alvast', 'dankjewel', 'hartelijk', 'moeite', 'hulp', 'voorbaat', 'oke', 'hartstikke']",1.23,"['thanks', 'thanks', 'already', 'thank you', 'thanks', 'effort', 'help', 'in advance', 'okay', 'thank you very much']",Non-Medical,Social remarks
24,575,24_alvast_bedankt_dank_vriendelijke,"['alvast', 'bedankt', 'dank', 'vriendelijke', 'groet', 'dankjewel', 'voorbaat', 'groetjes', 'groeten', 'hartelijk']",1.19,"['already', 'thanks', 'thank you', 'kind regards', 'thank you', 'in advance', 'greetings', 'greetings', 'kind regards']",Non-Medical,Social remarks
31,570,31_datum_middag_morgen_laat,"['datum', 'middag', 'morgen', 'laat', 'ochtend', 'gepland', 'half', 'the', 'geboortedatum', 'mogelijk']",1.17,"['date', 'afternoon', 'tomorrow', 'late', 'morning', 'scheduled', 'half', 'the', 'date of birth', 'possible']",Non-Medical,Scheduling
26,563,26_tabletten_tablet_dosis_dosering,"['tabletten', 'tablet', 'dosis', 'dosering', 'daags', 'innemen', 'gram', 'slik', 'mezavant', 'gebruik']",1.16,"['tablets', 'tablet', 'dose', 'dosage', 'daily', 'take', 'gram', 'take', 'mezavant', 'use']",Medical,Medication
12,549,12_bloeduitslagen_bloeduitslag_bloedwaarden_uitslagen,"['bloeduitslagen', 'bloeduitslag', 'bloedwaarden', 'uitslagen', 'bloed', 'bekend', 'bloedwaardes', 'uitslag', 'bloedonderzoek', 'benieuwd']",1.13,"['blood results', 'blood result', 'blood values', 'blood', 'results', 'known', 'blood values', 'result', 'blood test', 'curious']",Medical,Blood test results
13,543,13_ontlasting_dunne_stoelgang_waterige,"['ontlasting', 'dunne', 'stoelgang', 'waterige', 'dun', 'vaste', 'aandrang', 'soms', 'buikpijn', 'keer']",1.12,"['stool', 'loose stool', 'bowel movement', 'watery', 'diarrhea', 'formed', 'urgency', 'sometimes', 'abdominal pain', 'times']",Medical,Stool characteristics
10,538,10_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuistesten', 'positief', 'getest', 'scannen', 'negatief']",1.11,"['test', 'home test', 'test', 'performed', 'self-test', 'home tests', 'positive', 'tested', 'scan', 'negative']",Medical,Home tests
16,499,16_uitslag_resultaten_hiervan_bekend,"['uitslag', 'resultaten', 'hiervan', 'bekend', 'resultaat', 'daarvan', 'benieuwd', 'weten', 'duurt', 'graag']",1.03,"['result', 'results', 'of this', 'known', 'result', 'thereof', 'curious', 'know', 'takes', 'please']",Medical,Test results
15,477,15_infuus_volgende_infuuscentrum_entyvio,"['infuus', 'volgende', 'infuuscentrum', 'entyvio', 'gepland', 'krijg', 'toegediend', 'staat', 'biological', 'aanstaande']",0.98,"['infusion', 'next', 'infusion center', 'Entyvio', 'scheduled', 'receive', 'administered', 'scheduled', 'biologic', 'upcoming']",Medical,Infusion
30,475,30_beste_dank_bericht_bedankt,"['beste', 'dank', 'bericht', 'bedankt', 'heer', 'reactie', 'hartelijk', 'geachte', 'antwoord', 'snelle']",0.98,"['dear', 'thanks', 'message', 'thank you', 'sir', 'response', 'kind regards', 'dear', 'answer', 'quick']",Non-Medical,Social remarks
17,454,17_calprotectine_waarde_thuistest_test,"['calprotectine', 'waarde', 'thuistest', 'test', 'bekend', 'uitslag', 'gemeten', 'gedaan', 'bepalen', 'gestegen']",0.94,"['calprotectin', 'value', 'home test', 'test', 'known', 'result', 'measured', 'done', 'determine', 'increased']",Medical,Test results
57,441,57_hoop_wacht_afwachten_wachten,"['hoop', 'wacht', 'afwachten', 'wachten', 'proberen', 'hopelijk', 'kijken', 'blijft', 'snel', 'hopen']",0.91,"['hope', 'waiting', 'wait', 'waiting', 'try', 'hopefully', 'see', 'soon', 'remains', 'hope']",Non-Medical,Social remarks
19,414,19_klachten_verergerd_erger_verminderd,"['klachten', 'verergerd', 'erger', 'verminderd', 'toenemen', 'contact', 'verergeren', 'verbeterd', 'spelen', 'helaas']",0.85,"['symptoms', 'worsened', 'worse', 'improved', 'increased', 'contact', 'worsen', 'improved', 'occur', 'unfortunately']",Medical,Symptoms
21,412,21_formulieren_formulier_potje_papieren,"['formulieren', 'formulier', 'potje', 'papieren', 'toestemmingsformulier', 'toesturen', 'opsturen', 'sturen', 'buisje', 'toestemming']",0.85,"['forms', 'form', 'sample container', 'papers', 'consent form', 'send', 'send', 'send', 'collection tube', 'consent']",Non-Medical,Logistical communications
18,410,18_prednison_prednisolon_afgebouwd_afbouwen,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwen', 'afbouwschema', 'starten', 'gestart', 'gebruik', 'slikken', 'slik']",0.85,"['prednisone', 'prednisolone', 'tapered', 'tapering', 'tapering schedule', 'start', 'started', 'use', 'take', 'take']",Medical,Medication
25,395,25_vaccinatie_vaccin_griepprik_vaccinaties,"['vaccinatie', 'vaccin', 'griepprik', 'vaccinaties', 'gevaccineerd', 'vaccineren', 'astrazeneca', 'covid', 'pfizer', 'mensen']",0.81,"['vaccination', 'vaccine', 'flu shot', 'vaccinations', 'vaccinated', 'vaccinate', 'astrazeneca', 'covid', 'pfizer', 'people']",Medical,Medication
33,395,33_buik_onderbuik_pijn_bovenbuik,"['buik', 'onderbuik', 'pijn', 'bovenbuik', 'opgezette', 'gevoel', 'links', 'last', 'ribben', 'rechts']",0.81,"['abdomen', 'lower abdomen', 'pain', 'upper abdomen', 'bloated', 'feeling', 'discomfort', 'left', 'ribs', 'right']",Medical,Symptoms
28,391,28_waardes_waarde_waarden_hoog,"['waardes', 'waarde', 'waarden', 'hoog', 'gemeten', 'verhoging', 'crp', 'laag', 'gedaald', 'verhoogd']",0.81,"['values', 'value', 'values', 'high', 'measured', 'increase', 'CRP', 'low', 'decreased', 'elevated']",Medical,Test results
29,387,29_fijne_weekend_feestdagen_fijn,"['fijne', 'weekend', 'feestdagen', 'fijn', 'gewenst', 'alvast', 'wensen', 'wens', 'prettige', 'gezond']",0.8,"['nice', 'weekend', 'holidays', 'good', 'wished', 'already', 'wishes', 'wish', 'pleasant', 'healthy']",Non-Medical,Social remarks
34,378,34_hiermee_mee_weet_hieraan,"['hiermee', 'mee', 'weet', 'hieraan', 'ondernemen', 'oplossing', 'helpen', 'beste', 'hoor', 'actie']",0.78,"['with_this', 'with_it', 'know', 'regarding_this', 'take_action', 'solution', 'help', 'best', 'hear', 'action']",Medical,Seeking advice
22,374,22_poli_poliafspraak_afspraak_polie,"['poli', 'poliafspraak', 'afspraak', 'polie', 'polibezoek', 'interne', 'plannen', 'bellen', 'gepland', 'staan']",0.77,"['outpatient', 'outpatient appointment', 'appointment', 'clinic', 'clinic visit', 'internal medicine', 'schedule', 'call', 'scheduled', 'listed']",Non-Medical,Appointments
27,373,27_darmen_darm_darmklachten_dikke,"['darmen', 'darm', 'darmklachten', 'dikke', 'last', 'rustig', 'onrustig', 'laatste', 'merk', 'darmproblemen']",0.77,"['intestines', 'intestine', 'bowel symptoms', 'large intestine', 'discomfort', 'calm', 'restless', 'recent', 'notice', 'bowel problems']",Medical,Symptoms
20,360,20_crohn_ziekte_reuma_bechterew,"['crohn', 'ziekte', 'reuma', 'bechterew', 'rustig', 'combinatie', 'medicatie', 'ontstekingen', 'gerelateerd', 'ivm']",0.74,"['crohn', 'disease', 'rheumatism', 'bechterew', 'stable', 'combination', 'medication', 'inflammation', 'related', 'due to']",Medical,Diseases
23,352,23_toilet_vaker_rennen_gemiddeld,"['toilet', 'vaker', 'rennen', 'gemiddeld', 'keer', 'plassen', 'nacht', 'hoef', 'toiletbezoeken', 'gaan']",0.73,"['toilet', 'more often', 'rush', 'average', 'times', 'urinate', 'night', 'need to', 'go', 'toilet visits']",Medical,Symptoms
91,339,91_hallo_bespreken_gisteren_gesproken,"['hallo', 'bespreken', 'gisteren', 'gesproken', 'overleg', 'hoi', 'gesprek', 'beste', 'enof', 'vorige']",0.7,"['hello', 'discuss', 'yesterday', 'spoken', 'consultation', 'hi', 'conversation', 'dear', 'and_or', 'previous']",Non-Medical,Social remarks
55,333,55_lang_jaar_maanden_duurt,"['lang', 'jaar', 'maanden', 'duurt', 'interval', 'minuten', 'duren', 'keer', 'wachten', 'zon']",0.69,"['long', 'year', 'months', 'takes', 'interval', 'minutes', 'lasts', 'times', 'age', 'waiting']",Medical,Health update
35,321,35_ibd_ibdcoach_periodieke_gezondheidscheck,"['ibd', 'ibdcoach', 'periodieke', 'gezondheidscheck', 'vragenlijst', 'vullen', 'check', 'team', 'invullen', 'sessie']",0.66,"['ibd', 'ibd coach', 'periodic', 'health check', 'questionnaire', 'fill in', 'check', 'team', 'complete', 'session']
",Medical,Periodic follow-up
38,314,38_spuit_spuiten_zetten_vloeistof,"['spuit', 'spuiten', 'zetten', 'vloeistof', 'gezet', 'gespoten', 'zet', 'hyrimoz', 'naald', 'druppels']",0.65,"['injection', 'injecting', 'administer', 'fluid', 'administered', 'injected', 'give_injection', 'hyrimoz', 'needle', 'drops']",Medical,Medication
42,313,42_vermoeidheid_moe_energie_vermoeid,"['vermoeidheid', 'moe', 'energie', 'vermoeid', 'voel', 'merk', 'vermoeidheidsklachten', 'inspanning', 'fit', 'sporten']",0.65,"['fatigue', 'tired', 'energy', 'fatigued', 'feel', 'notice', 'fatigue_symptoms', 'effort', 'fit', 'exercise']",Medical,Symptoms
44,308,44_buikpijn_opgeblazen_maagklachten_last,"['buikpijn', 'opgeblazen', 'maagklachten', 'last', 'gevoel', 'ontzettende', 'maagstreek', 'buik', 'maagpijn', 'pijn']",0.63,"['abdominal_pain', 'bloated', 'stomach_complaints', 'discomfort', 'feeling', 'severe', 'upper_abdomen', 'abdomen', 'stomach_pain', 'pain']",Medical,Symptoms
39,308,39_operatie_geopereerd_chirurg_chirurgie,"['operatie', 'geopereerd', 'chirurg', 'chirurgie', 'herstel', 'opereren', 'kaakchirurg', 'plaatsvinden', 'anesthesist', 'narcose']",0.63,"['surgery', 'operated', 'surgeon', 'surgery_department', 'recovery', 'operate', 'oral_surgeon', 'take_place', 'anesthesiologist', 'anesthesia']",Medical,Surgery
119,306,119_doorgeven_melden_wilde_weten,"['doorgeven', 'melden', 'wilde', 'weten', 'bespreken', 'genformeerd', 'hopende', 'voldoende', 'graag', 'vandaar']",0.63,"['pass_on', 'report', 'wanted', 'know', 'discuss', 'informed', 'hoping', 'sufficiently', 'please', 'therefore']",Medical,Seeking advice
121,303,121_hum_hpm_tel_gebdatum,"['hum', 'hpm', 'tel', 'gebdatum', 'geboortedatum', 'groet', 'fax', 'gebdat', 'kollar', 'stappen']",0.62,"['hum', 'hpm', 'phone', 'dob', 'date_of_birth', 'greeting', 'fax', 'dob_alt', 'kollar', 'steps']",Non-Medical,Administrative communication
37,297,37_vraag_vragen_vraagje_vraagjes,"['vraag', 'vragen', 'vraagje', 'vraagjes', 'tweetal', 'navragen', 'aantal', 'hallo', 'daarnaast', 'stellen']",0.61,"['question', 'questions', 'small_question', 'questions_small', 'a_few', 'ask_about', 'number', 'hello', 'besides_that', 'ask']",Medical,Seeking advice
45,291,45_vakantie_vertrek_nederland_reizen,"['vakantie', 'vertrek', 'nederland', 'reizen', 'terug', 'gaan', 'geboekt', 'griekenland', 'eind', 'rijden']",0.6,"['holiday', 'departure', 'netherlands', 'traveling', 'return', 'go', 'booked', 'greece', 'end', 'driving']",Medical,Disease management regarding traveling
41,289,41_zwanger_gynaecoloog_zwangerschap_bevallen,"['zwanger', 'gynaecoloog', 'zwangerschap', 'bevallen', 'miskraam', 'keizersnede', 'verloskundige', 'ongesteld', 'dochter', 'baby']",0.6,"['pregnant', 'gynecologist', 'pregnancy', 'gave_birth', 'miscarriage', 'c_section', 'midwife', 'menstruating', 'daughter', 'baby']",Medical,Pregnancy
82,288,82_consult_telefonisch_spreekuur_psycholoog,"['consult', 'telefonisch', 'spreekuur', 'psycholoog', 'gesprek', 'telefonische', 'contact', 'afspraak', 'bespreken', 'second']",0.59,"['consult', 'phone', 'clinic hours', 'psychologist', 'conversation', 'telephone', 'contact', 'appointment', 'discuss', 'second opinion']
",Medical,Contact with healthcare professionals
53,287,53_voel_voelde_echt_slecht,"['voel', 'voelde', 'echt', 'slecht', 'lekker', 'voelen', 'moedeloos', 'beter', 'ziek', 'goed']",0.59,"['feel', 'felt', 'really', 'bad', 'okay', 'feeling', 'discouraged', 'better', 'sick', 'good']",Medical,General health update
67,279,67_werk_werken_thuis_werkgever,"['werk', 'werken', 'thuis', 'werkgever', 'school', 'kinderen', 'onderwijs', 'kinderdagverblijf', 'baan', 'stage']",0.58,"['work', 'working', 'home', 'employer', 'school', 'children', 'daycare', 'education', 'job', 'internship']",Medical,Disease management regarding work
36,277,36_purinethol_nieuw_recept_herhaalrecept,"['purinethol', 'nieuw', 'recept', 'herhaalrecept', 'puri', 'nethol', 'allopurinol', 'aanvragen', 'bestellen', 'apotheek']",0.57,"['purinethol', 'new', 'prescription', 'repeat_prescription', 'puri', 'nethol', 'allopurinol', 'request', 'order', 'pharmacy']",Medical,Medication
58,274,58_pijn_pijnlijk_erger_zenuwpijn,"['pijn', 'pijnlijk', 'erger', 'zenuwpijn', 'rug', 'stekende', 'onderrug', 'heftig', 'zitten', 'plek']",0.56,"['pain', 'painful', 'worse', 'nerve_pain', 'back', 'stabbing', 'lower_back', 'intense', 'sitting', 'spot']",Medical,Symptoms
80,273,80_reactie_antwoord_bedankt_alvast,"['reactie', 'antwoord', 'bedankt', 'alvast', 'dank', 'tegemoet', 'dankjewel', 'hartelijk', 'zie', 'antwoorden']",0.56,"['response', 'answer', 'thank you', 'already', 'thanks', 'towards', 'thanks_again', 'kindly', 'see', 'answers']
",Non-Medical,Social remarks
52,273,52_eten_eet_voeding_gegeten,"['eten', 'eet', 'voeding', 'gegeten', 'eetlust', 'ditiste', 'voedsel', 'brood', 'drinken', 'vloeibaar']",0.56,"['eating', 'eat', 'nutrition', 'eaten', 'appetite', 'dietitian', 'food', 'bread', 'drinking', 'liquid']",Medical,Diet
43,272,43_darmonderzoek_darm_maagonderzoek_darmkanker,"['darmonderzoek', 'darm', 'maagonderzoek', 'darmkanker', 'bevolkingsonderzoek', 'onderzoek', 'dikke', 'slokdarm', 'darmen', 'maag']",0.56,"['bowel exam', 'colon', 'gastroscopy', 'colon_cancer', 'screening_program', 'examination', 'large_intestine', 'esophagus', 'bowels', 'stomach']
",Medical,Medical examinations
60,268,60_koorts_griep_verkoudheid_verkouden,"['koorts', 'griep', 'verkoudheid', 'verkouden', 'ziek', 'koude', 'rillingen', 'temperatuur', 'verhoging', 'lichte']",0.55,"['fever', 'flu', 'cold', 'cold_symptoms', 'sick', 'chills', 'shivering', 'temperature', 'elevated', 'mild']",Medical,Diseases
64,264,64_gewrichten_handen_vingers_pijn,"['gewrichten', 'handen', 'vingers', 'pijn', 'arm', 'last', 'gewrichtsklachten', 'benen', 'rug', 'linker']",0.54,"['joints', 'hands', 'fingers', 'pain', 'arm', 'discomfort', 'joint_symptoms', 'legs', 'back', 'left']",Medical,Symptoms
51,261,51_bloed_ontlasting_helder_zit,"['bloed', 'ontlasting', 'helder', 'zit', 'soms', 'stoelgang', 'erbij', 'gevonden', 'rood', 'keer']",0.54,"['blood', 'stool', 'bright', 'present', 'sometimes', 'bowel movement', 'included', 'found', 'red', 'time']
",Medical,Symptoms
128,254,128_vraagtekens_verschil_naam_sticker,"['vraagtekens', 'verschil', 'naam', 'sticker', 'gelegd', 'besproken', 'sta', 'begrepen', 'keuze', 'genoteerd']",0.52,"['question marks', 'difference', 'name', 'sticker', 'placed', 'discussed', 'stand', 'understood', 'choice', 'noted']
",Medical,Seeking advice
50,254,50_formulieren_formulier_prikken_bloedafname,"['formulieren', 'formulier', 'prikken', 'bloedafname', 'bloedprik', 'bloedprikken', 'papieren', 'bloed', 'briefjes', 'sturen']",0.52,"['forms', 'form', 'blood draw', 'blood sample', 'blood test', 'blood tests', 'papers', 'blood', 'slips', 'send']
",Non-Medical,Logistical communication regarding blood tests
63,246,63_goedemorgen_goedemiddag_goedendag_goede,"['goedemorgen', 'goedemiddag', 'goedendag', 'goede', 'goedenavond', 'dames', 'morgen', 'middag', 'bedankt', 'fijn']",0.51,"['good_morning', 'good_afternoon', 'good_day', 'good', 'good_evening', 'ladies', 'morning', 'afternoon', 'thanks', 'nice']",Non-Medical,Greetings
90,241,90_huis_thuis_voorraad_liggen,"['huis', 'thuis', 'voorraad', 'liggen', 'stuks', 'doosje', 'vinden', 'gebruikt', 'doos', 'gekregen']",0.5,"['house', 'home', 'supply', 'lying_around', 'pieces', 'box', 'find', 'used', 'package', 'received']",Medical,Home tests
108,233,108_vriendelijke_groet_alvast_geb,"['vriendelijke', 'groet', 'alvast', 'geb', 'hgl', 'groeten', 'datum', 'bedankt', 'geboorte', 'geboortedatum']",0.48,"['kind', 'regards', 'already', 'gb', 'hgl', 'greetings', 'date', 'thanks', 'birth', 'date_of_birth']",Non-Medical,Greetings
47,230,47_uitslagen_bekend_hiervan_inzien,"['uitslagen', 'bekend', 'hiervan', 'inzien', 'horen', 'zien', 'goed', 'doorgefaxt', 'vertellen', 'blij']",0.47,"['results', 'available', 'of this', 'view', 'hear', 'see', 'good', 'faxed', 'tell', 'happy']
",Non-Medical,Communication of test results
71,226,71_keel_hoesten_keelpijn_mond,"['keel', 'hoesten', 'keelpijn', 'mond', 'tandarts', 'neus', 'hoest', 'tandvlees', 'ontstoken', 'tong']",0.47,"['throat', 'coughing', 'sore_throat', 'mouth', 'dentist', 'nose', 'cough', 'gums', 'inflamed', 'tongue']",Medical,Symptoms
46,225,46_pentasa_granulaat_zetpillen_pentaza,"['pentasa', 'granulaat', 'zetpillen', 'pentaza', 'korrels', 'gram', 'recept', 'herhaalrecept', 'gebruik', 'nieuw']",0.46,"['pentasa', 'granules', 'suppositories', 'pentaza', 'grains', 'gram', 'prescription', 'repeat_prescription', 'use', 'new']",Medical,Medication
66,222,66_apotheek_fax_margraten_naam,"['apotheek', 'fax', 'margraten', 'naam', 'gegevens', 'derrein', 'jaj', 'gasthuis', 'glacisweg', 'adres']",0.46,"['pharmacy', 'fax', 'margraten', 'name', 'details', 'area', 'yes_yes', 'hospital', 'glacisweg', 'address']",Non-Medical,Communication with Pharmacy
88,221,88_dank_bedankt_bericht_info,"['dank', 'bedankt', 'bericht', 'info', 'antwoord', 'fijn', 'hartelijk', 'dankjewel', 'merci', 'super']",0.46,"['thanks', 'thank_you', 'message', 'info', 'answer', 'nice', 'kindly', 'thanks_you', 'merci', 'great']",Non-Medical,Social communication
103,219,103_ziekenhuis_ontslagen_opgenomen_echo,"['ziekenhuis', 'ontslagen', 'opgenomen', 'echo', 'ambulance', 'komen', 'lig', 'hulp', 'spoedeisende', 'huisartsenpost']",0.45,"['hospital', 'discharged', 'admitted', 'ultrasound', 'ambulance', 'arrive', 'lying', 'help', 'er', 'after_hours_gp']",Medical,Hospital admission
48,218,48_mri_scan_mriscan_ctscan,"['mri', 'scan', 'mriscan', 'ctscan', 'uitslag', 'gemaakt', 'gepland', 'ingepland', 'bespreken', 'scans']",0.45,"['mri', 'scan', 'mri_scan', 'ct_scan', 'result', 'made', 'scheduled', 'planned_in', 'discuss', 'scans']",Medical,Imaging tests
65,218,65_bloedverlies_bloed_helder_bloedingen,"['bloedverlies', 'bloed', 'helder', 'bloedingen', 'verlies', 'afvegen', 'rood', 'zat', 'spoortje', 'bloedbeeld']",0.45,"['blood loss', 'blood', 'bright', 'bleeding', 'loss', 'wiping', 'red', 'was there', 'trace', 'blood count']",Medical,Symptoms
70,215,70_advies_adviseren_tips_helpen,"['advies', 'adviseren', 'tips', 'helpen', 'graag', 'adviezen', 'hiermee', 'raad', 'raden', 'geven']",0.44,"['advice', 'advise', 'tips', 'help', 'gladly', 'recommendations', 'with_this', 'guidance', 'suggest', 'give']",Medical,Seeking advice
61,210,61_antibiotica_kuur_antibioticakuur_bacterie,"['antibiotica', 'kuur', 'antibioticakuur', 'bacterie', 'probiotica', 'gekregen', 'voorgeschreven', 'infectie', 'antibioticum', 'blaasontsteking']",0.43,"['antibiotics', 'course', 'antibiotic_course', 'bacteria', 'probiotics', 'received', 'prescribed', 'infection', 'antibiotic', 'uti']",Medical,Medication
69,201,69_ontsteking_ontstekingswaarde_ontstekingen_ontstekingswaarden,"['ontsteking', 'ontstekingswaarde', 'ontstekingen', 'ontstekingswaarden', 'actief', 'ontstekingswaardes', 'hoog', 'reuma', 'zien', 'voorkomen']",0.41,"['endoscopy', 'department', 'scheduled', 'date', 'planned', 'listed', 'preparation', 'appointment', 'take_place', 'rectum']",Medical,Imaging tests
