Topic,Count,Name,Representation,Frequency (%),Translation,Label,Note for labeling rationale
49,201,49_endoscopie_afdeling_gepland_datum,"['endoscopie', 'afdeling', 'gepland', 'datum', 'ingepland', 'staat', 'voorbereiding', 'afspraak', 'plaatsvinden', 'endeldarm']",0.41,"['inflammation', 'inflammatory marker', 'inflammations', 'inflammatory markers', 'active', 'inflammatory values', 'high', 'rheumatism', 'see', 'appear']
",Medical,Health condition
76,200,76_snelle_reactie_dank_bedankt,"['snelle', 'reactie', 'dank', 'bedankt', 'antwoord', 'handelen', 'dankjewel', 'snel', 'reageert', 'hartelijk']",0.41,"['quick', 'response', 'thanks', 'thank you', 'answer', 'handle', 'thanks again', 'fast', 'responds', 'kindly']
",Non-Medical,Closing remarks
56,198,56_paracetamol_tramadol_helpt_pijnstillers,"['paracetamol', 'tramadol', 'helpt', 'pijnstillers', 'pijn', 'ibuprofen', 'pijnstiller', 'diclofenac', 'voorgeschreven', 'onderdrukken']",0.41,"['paracetamol', 'tramadol', 'helps', 'painkillers', 'pain', 'ibuprofen', 'painkiller', 'diclofenac', 'prescribed', 'suppress']",Medical,Medication
72,193,72_onderzoek_onderzoeken_meedoen_bevolkingsonderzoek,"['onderzoek', 'onderzoeken', 'meedoen', 'bevolkingsonderzoek', 'genteresseerd', 'darmkanker', 'studie', 'mee', 'roesje', 'deel']",0.4,"['research', 'studies', 'participate', 'screening program', 'interested', 'colon_cancer', 'study', 'participate', 'sedation', 'part']
",Medical,Participation in clinical studies
97,191,97_esomeprazol_omeprazol_dgs_daags,"['esomeprazol', 'omeprazol', 'dgs', 'daags', 'pantoprazol', 'capsules', 'chew', 'mesalazine', 'sulfasalazine', 'loperamide']",0.39,"['esomeprazole', 'omeprazole', 'daily', 'per day', 'pantoprazole', 'capsules', 'chew', 'mesalazine', 'sulfasalazine', 'loperamide']
",Medical,Medication
124,191,124_mvrgr_mvg_mvgr_grt,"['mvrgr', 'mvg', 'mvgr', 'grt', 'beckers', 'will', 'boden', 'experimenteren', 'overmacht', 'mpg']",0.39,"['kind regards', 'mvg', 'mvgr', 'grt', 'beckers', 'will', 'boden', 'experimenting', 'force majeure', 'mpg']
",Non-Medical,Social remarks
101,188,101_brief_ontvangen_verwijsbrief_brieven,"['brief', 'ontvangen', 'verwijsbrief', 'brieven', 'handtekening', 'briefjes', 'verschijnen', 'stempel', 'post', 'voorzien']",0.39,"['letter', 'received', 'referral letter', 'letters', 'signature', 'slips', 'appear', 'stamp', 'post', 'provided']
",Non-Medical,Post communications
74,188,74_slijm_ontlasting_bloed_zit,"['slijm', 'ontlasting', 'bloed', 'zit', 'soms', 'diarree', 'spoortje', 'zichtbaar', 'last', 'prop']",0.39,"['mucus', 'stool', 'blood', 'present', 'sometimes', 'diarrhea', 'trace', 'visible', 'discomfort', 'clump']",Medical,Symptoms
87,185,87_diarree_buikpijn_buikgriep_diaree,"['diarree', 'buikpijn', 'buikgriep', 'diaree', 'water', 'overgeven', 'last', 'remmer', 'overgegeven', 'pijn']",0.38,"['diarrhea', 'abdominal_pain', 'stomach_flu', 'diarrhoea_spelling_alt', 'water', 'vomiting', 'trouble', 'anti_diarrheal', 'vomited', 'pain']",Medical,Symptoms
73,185,73_gebeld_persoonlijk_bellen_mogelijkheden,"['gebeld', 'persoonlijk', 'bellen', 'mogelijkheden', 'vragen', 'spreken', 'gesprek', 'eiland', 'bespreken', 'belt']",0.38,"['called', 'personally', 'calling', 'options', 'questions', 'speak', 'conversation', 'island', 'discuss', 'calls']",Non-Medical,Phone contact
139,182,139_last_winden_soms_overdag,"['last', 'winden', 'soms', 'overdag', 'vervelend', 'best', 'hinder', 'heftig', 'weekend', 'sochtends']",0.38,"['discomfort', 'gas', 'sometimes', 'during_day', 'annoying', 'quite', 'bothersome', 'intense', 'weekend', 'morning']",Medical,Symptoms
120,182,120_ophalen_halen_voorraad_afhalen,"['ophalen', 'halen', 'voorraad', 'afhalen', 'inleveren', 'balie', 'levering', 'morgen', 'brengen', 'meteen']",0.38,"['pick up', 'collect', 'supply', 'collect from', 'submit', 'counter', 'delivery', 'tomorrow', 'bring', 'immediately']
",Non-Medical,Logistics
62,181,62_vitamine_vitamines_doorsturen_spuit,"['vitamine', 'vitamines', 'doorsturen', 'spuit', 'vit', 'calcium', 'vitaminen', 'injecties', 'injectie', 'recept']",0.37,"['vitamin', 'vitamins', 'forward', 'injection', 'vit', 'calcium', 'vitamin_supplements', 'injections', 'injection_single', 'prescription']",Medical,Medication
81,176,81_slijm_bloed_aambeien_soms,"['slijm', 'bloed', 'aambeien', 'soms', 'dun', 'normaal', 'vocht', 'slijmbeursontsteking', 'bloedverlies', 'komt']",0.36,"['mucus', 'blood', 'hemorrhoids', 'sometimes', 'thin', 'normal', 'fluid', 'bursitis', 'blood_loss', 'appears']",Medical,Symptoms
109,173,109_injectie_injecties_infusen_hyrimoz,"['injectie', 'injecties', 'infusen', 'hyrimoz', 'gezet', 'mtx', 'injecteren', 'zetten', 'volgende', 'spuit']",0.36,"['injection', 'injections', 'infusions', 'hyrimoz', 'administered', 'mtx', 'injecting', 'give_injection', 'next', 'shot']",Medical,Injection
136,171,136_jeukt_rood_plek_bultjes,"['jeukt', 'rood', 'plek', 'bultjes', 'rode', 'pijnlijk', 'gezwollen', 'voelt', 'jeuk', 'dik']",0.35,"['enemas', 'enema', 'used', 'enemas_alt', 'use', 'salofalk', 'budenofalk', 'try', 'order', 'started']",Medical,Medication
59,171,59_klysmas_klysma_gebruikt_klismas,"['klysmas', 'klysma', 'gebruikt', 'klismas', 'gebruiken', 'salofalk', 'budenofalk', 'proberen', 'bestellen', 'begonnen']",0.35,"['itchy', 'red', 'spot', 'bumps', 'redness', 'painful', 'swollen', 'feels', 'itch', 'thick']",Medical,Symptoms
77,169,77_lab_biologicals_chemie_labformulieren,"['lab', 'biologicals', 'chemie', 'labformulieren', 'klinische', 'labbriefjes', 'labformulier', 'bureau', 'potje', 'labuitslagen']",0.35,"['lab', 'biologics', 'chemistry', 'lab forms', 'clinical', 'lab slips', 'lab form', 'desk', 'stool pot', 'lab results']
",Medical,Lab tests
94,169,94_verwijzing_doorgestuurd_komen_neer,"['verwijzing', 'doorgestuurd', 'komen', 'neer', 'verhuisd', 'terecht', 'service', 'geb', 'schiphorst', 'ritje']",0.35,"['referral', 'forwarded', 'arrive', 'down', 'moved', 'ended up', 'service', 'gb', 'schiphorst', 'trip']
",Medical,Referral
85,168,85_slaap_slapen_wakker_bed,"['slaap', 'slapen', 'wakker', 'bed', 'geslapen', 'nachten', 'nacht', 'nachtrust', 'vannacht', 'snachts']",0.35,"['sleep', 'sleeping', 'awake', 'bed', 'slept', 'nights', 'night', 'sleep_quality', 'last night', 'at night']
",Medical,Symptoms
68,165,68_ijzer_ijzerinfuus_ijzergehalte_ijzertekort,"['ijzer', 'ijzerinfuus', 'ijzergehalte', 'ijzertekort', 'laag', 'ijzertabletten', 'tekort', 'infuus', 'gehalte', 'magnesium']",0.34,"['iron', 'iron infusion', 'iron level', 'iron deficiency', 'low', 'iron tablets', 'deficiency', 'infusion', 'level', 'magnesium']
",Medical,Blood levels of iron
96,162,96_krampen_buikkrampen_buikklachten_kramp,"['krampen', 'buikkrampen', 'buikklachten', 'kramp', 'flinke', 'last', 'lucht', 'voeten', 'soms', 'gepaard']",0.33,"['cramps', 'abdominal_cramps', 'abdominal_complaints', 'cramp', 'severe', 'discomfort', 'gas', 'feet', 'sometimes', 'accompanied']",Medical,Symptoms
89,161,89_snelle_reactie_bedankt_dank,"['snelle', 'reactie', 'bedankt', 'dank', 'antwoord', 'dankjewel', 'hulp', 'reageren', 'snel', 'nogmaals']",0.33,"['quick', 'response', 'thank_you', 'thanks', 'answer', 'thanks_again', 'help', 'responding', 'fast', 'again']",Non-Medical,Social remarks
141,161,141_nakijken_mening_denken_voorstel,"['nakijken', 'mening', 'denken', 'voorstel', 'hierover', 'achteraan', 'hoop', 'akkoord', 'visie', 'begrijpt']",0.33,"['check', 'opinion', 'think', 'proposal', 'about this', 'follow up', 'hope', 'agree', 'view', 'understand']
",Medical,Seeking advice
133,158,133_controle_jaarlijkse_controles_afspraak,"['controle', 'jaarlijkse', 'controles', 'afspraak', 'controleafspraak', 'controlestrook', 'jaar', 'regelen', 'inplannen', 'komen']",0.33,"['Follow-up', 'annual', 'checkups', 'appointment', 'follow up appointment', 'checkup', 'year', 'arrange', 'schedule', 'come in']
",Medical,Follow-up
106,157,106_huid_gezicht_jeuk_droge,"['huid', 'gezicht', 'jeuk', 'droge', 'rode', 'vlekken', 'huiduitslag', 'acne', 'haaruitval', 'hoofdhuid']",0.32,"['skin', 'face', 'itch', 'dry', 'red', 'spots', 'rash', 'acne', 'hair_loss', 'scalp']",Medical,Symptoms
132,156,132_misselijk_misselijkheid_overgeven_eetlust,"['misselijk', 'misselijkheid', 'overgeven', 'eetlust', 'braken', 'gevoel', 'eten', 'maag', 'opgeblazen', 'vermoeid']",0.32,"['nauseous', 'nausea', 'vomiting', 'appetite', 'throwing_up', 'feeling', 'eating', 'stomach', 'bloated', 'tired']",Medical,Symptoms
86,156,86_kilo_gewicht_afgevallen_weeg,"['kilo', 'gewicht', 'afgevallen', 'weeg', 'gewichtsverlies', 'afvallen', 'sporten', 'conditie', 'woog', 'vallen']",0.32,"['kilo', 'weight', 'lost_weight', 'weigh', 'weight_loss', 'losing_weight', 'exercise', 'condition', 'weighed', 'drop']",Medical,Symptoms of weight loss
152,153,152_duidelijkheid_informatie_vertellen_geven,"['duidelijkheid', 'informatie', 'vertellen', 'geven', 'nagedacht', 'antwoord', 'weten', 'hoop', 'info', 'daarover']",0.32,"['clarity', 'information', 'tell', 'give', 'thought about', 'answer', 'know', 'hope', 'info', 'about it']
",Medical,Seeking advice
107,152,107_bericht_bedankt_berichtje_dankjewel,"['bericht', 'bedankt', 'berichtje', 'dankjewel', 'dank', 'terugkoppeling', 'mail', 'mededeling', 'okay', 'doorsturen']",0.31,"['message', 'thank you', 'message', 'thanks again', 'thanks', 'feedback', 'email', 'notification', 'okay', 'forward']
",Non-Medical,Social remarks
75,150,75_coloscopie_colonscopie_colonoscopie_gastroscopie,"['coloscopie', 'colonscopie', 'colonoscopie', 'gastroscopie', 'gepland', 'ondergaan', 'beelden', 'staat', 'biopten', 'sigmoidoscopie']",0.31,"['colonoscopy', 'colonoscopy_alt', 'colonoscopie', 'gastroscopy', 'scheduled', 'undergo', 'images', 'listed', 'biopsies', 'sigmoidoscopy']",Medical,Imaging test
79,148,79_dermatoloog_dermatologie_doorverwijzing_verwijzing,"['dermatoloog', 'dermatologie', 'doorverwijzing', 'verwijzing', 'verwijsbrief', 'doorverwezen', 'wondjes', 'ivm', 'haaruitval', 'vervolgafspraak']",0.31,"['dermatologist', 'dermatology', 'referral', 'referral letter', 'referral form', 'referred', 'wounds', 'regarding', 'hair loss', 'follow up appointment']
",Medical,Referral to other specialists
84,143,84_zetpillen_pillen_gebruik_gebruiken,"['zetpillen', 'pillen', 'gebruik', 'gebruiken', 'herhaalrecept', 'gestopt', 'anticonceptiepil', 'voorgeschreven', 'red', 'doosje']",0.29,"['suppositories', 'pills', 'use', 'use_alt', 'repeat_prescription', 'stopped', 'birth_control_pill', 'prescribed', 'just', 'box']",Medical,Medication
83,139,83_thiosix_herhaalrecept_nieuw_recept,"['thiosix', 'herhaalrecept', 'nieuw', 'recept', 'calcium', 'uitschrijven', 'apotheek', 'tabletten', 'aub', 'kauwtabletten']",0.29,"['thiosix', 'repeat prescription', 'new', 'prescription', 'calcium', 'write out', 'pharmacy', 'tablets', 'please', 'chewable tablets']
",Medical,Medication
95,138,95_mdl_arts_mdlarts_verpleegkundige,"['mdl', 'arts', 'mdlarts', 'verpleegkundige', 'ibd', 'doorverwezen', 'huisarts', 'artsen', 'afspraak', 'patinten']",0.28,"['gastroenterology', 'doctor', 'gastroenterologist', 'nurse', 'ibd', 'referred', 'general_practitioner', 'doctors', 'appointment', 'patients']",Medical,Doctor contact
98,135,98_vragenlijst_ingevuld_invullen_vragenlijsten,"['vragenlijst', 'ingevuld', 'invullen', 'vragenlijsten', 'vullen', 'vragen', 'antwoorden', 'lijst', 'doorgekomen', 'maandelijks']",0.28,"['questionnaire', 'filled in', 'fill in', 'questionnaires', 'fill', 'questions', 'answers', 'list', 'received', 'monthly']
",Medical,Questionnaire
135,133,135_toilet_slijm_ontlasting_papier,"['toilet', 'slijm', 'ontlasting', 'papier', 'keer', 'erbij', 'bloed', 'soms', 'waarvan', 'dunne']",0.27,"['toilet', 'mucus', 'stool', 'paper', 'times', 'along_with', 'blood', 'sometimes', 'of_which', 'loose']",Medical,Symptoms
125,133,125_psylliumvezels_metamucil_vezels_suikervrij,"['psylliumvezels', 'metamucil', 'vezels', 'suikervrij', 'teva', 'orange', 'volcolon', 'foliumzuur', 'recept', 'magnesiumhydroxide']",0.27,"['psyllium fibers', 'metamucil', 'fibers', 'sugar free', 'teva', 'orange', 'volcolon', 'folic acid', 'prescription', 'magnesium hydroxide']
",Medical,Diet
134,131,134_zalf_crme_creme_diltiazem,"['zalf', 'crme', 'creme', 'diltiazem', 'druppels', 'gekregen', 'helpt', 'kruiden', 'ontstekingsremmende', 'gesmeerd']",0.27,"['ointment', 'cream', 'cream', 'diltiazem', 'drops', 'received', 'helps', 'herbal', 'anti inflammatory', 'applied']
",Medical,Medication
105,128,105_verzekering_zorgverzekering_risico_vergoed,"['verzekering', 'zorgverzekering', 'risico', 'vergoed', 'aanvraag', 'levensverzekering', 'uwv', 'gegevens', 'medische', 'zorgverzekeraar']",0.26,"['insurance', 'health_insurance', 'risk', 'covered', 'application', 'life_insurance', 'social_security', 'details', 'medical', 'insurer']",Non-Medical,Insurance
151,127,151_corona_virus_positief_getest,"['corona', 'virus', 'positief', 'getest', 'vaccinatie', 'besmetting', 'vaccin', 'besmet', 'negatief', 'vraag']",0.26,"['blood draw', 'blood test', 'let', 'more convenient', 'antibodies', 'drawn', 'thyroid', 'blood test day', 'blood form', 'pen needle']
",Medical,Blood tests
116,127,116_prikken_prik_laten_handiger,"['prikken', 'prik', 'laten', 'handiger', 'antistoffen', 'geprikt', 'schildklier', 'prikdag', 'prikbriefje', 'prikpen']",0.26,"['corona', 'virus', 'positive', 'tested', 'vaccination', 'infection', 'vaccine', 'infected', 'negative', 'question']",Medical,Coronavirus
99,126,99_sessie_inloggen_sessies_melding,"['sessie', 'inloggen', 'sessies', 'melding', 'account', 'staat', 'wachtwoord', 'ingevuld', 'ingelogd', 'foutmelding']",0.26,"['session', 'log in', 'sessions', 'notification', 'account', 'status', 'password', 'filled in', 'logged in', 'error message']
",Non-Medical,App use
110,125,110_anus_aambeien_vagina_fistel,"['anus', 'aambeien', 'vagina', 'fistel', 'gevoel', 'pijn', 'jeuk', 'branderig', 'endeldarm', 'linkerbil']",0.26,"['anus', 'hemorrhoids', 'vagina', 'fistula', 'feeling', 'pain', 'itch', 'burning', 'rectum', 'left_buttock']",Medical,Symptoms
115,122,115_longen_cardioloog_hart_longarts,"['longen', 'cardioloog', 'hart', 'longarts', 'longfoto', 'hartslag', 'longontsteking', 'hartkloppingen', 'cardiologie', 'ecg']",0.25,"['lungs', 'cardiologist', 'heart', 'lung_specialist', 'chest_xray', 'heart_rate', 'pneumonia', 'palpitations', 'cardiology', 'ecg']",Medical,Diseases
118,121,118_zorgen_bang_ongerust_begin,"['zorgen', 'bang', 'ongerust', 'begin', 'risico', 'geschrokken', 'hierdoor', 'angstig', 'fistels', 'letten']",0.25,"['concerns', 'afraid', 'worried', 'beginning', 'risk', 'shocked', 'because_of_this', 'anxious', 'fistulas', 'pay_attention']",Medical,Psychological feelings
104,119,104_urine_blaas_nieren_nier,"['urine', 'blaas', 'nieren', 'nier', 'blaasontsteking', 'kweek', 'urinekweek', 'urineweginfectie', 'nierfunctie', 'galstenen']",0.25,"['urine', 'bladder', 'kidneys', 'kidney', 'uti', 'culture', 'urine culture', 'urinary infection', 'kidney function', 'gallstones']
",Medical,Urine test and kidney function
143,114,143_excuses_sorry_late_vele,"['excuses', 'sorry', 'late', 'vele', 'jammer', 'excuus', 'geduld', 'ongemak', 'vergissing', 'verhinderd']",0.23,"['excuses', 'sorry', 'late', 'many', 'shame', 'apology', 'patience', 'inconvenience', 'mistake', 'prevented']",Non-Medical,Social remarks
92,114,92_cortiment_stoppen_slik_verbetering,"['cortiment', 'stoppen', 'slik', 'verbetering', 'afbouwen', 'slikken', 'starten', 'onderste', 'tabletten', 'bezig']",0.23,"['cortiment', 'stop', 'take', 'improvement', 'taper', 'taking', 'start', 'lower', 'tablets', 'busy']",Medical,Medication
114,112,114_hoofdpijn_duizelig_duizeligheid_hoofd,"['hoofdpijn', 'duizelig', 'duizeligheid', 'hoofd', 'migraine', 'licht', 'symptomen', 'hartkloppingen', 'last', 'gevoel']",0.23,"['headache', 'dizzy', 'dizziness', 'head', 'migraine', 'light', 'symptoms', 'palpitations', 'discomfort', 'feeling']",Medical,Symptoms
130,111,130_gehoord_vernomen_heden_helaas,"['gehoord', 'vernomen', 'heden', 'helaas', 'hierover', 'bevestiging', 'bericht', 'gekregen', 'hierop', 'horen']",0.23,"['heard', 'learned', 'today', 'unfortunately', 'about this', 'confirmation', 'message', 'received', 'regarding this', 'hear']
",Non-Medical,Administrative communcation
129,107,129_app_telefoon_downloaden_ondersteund,"['app', 'telefoon', 'downloaden', 'ondersteund', 'gsm', 'telefoons', 'iphone', 'geprobeerd', 'code', 'mobiele']",0.22,"['app', 'phone', 'download', 'supported', 'mobile', 'phones', 'iphone', 'tried', 'code', 'mobile_device']",Non-Medical,App use
153,107,153_bekend_uitgekomen_dingen_onbekend,"['bekend', 'uitgekomen', 'dingen', 'onbekend', 'nieuwsgierig', 'wijsheid', 'gegevens', 'weet', 'duidelijk', 'hierover']",0.22,"['known', 'found', 'things', 'unknown', 'curious', 'wisdom', 'details', 'know', 'clear', 'about_this']",Non-Medical,Test results inquiry
112,107,112_scopie_gepland_plaatsvinden_echo,"['scopie', 'gepland', 'plaatsvinden', 'echo', 'staat', 'sedatie', 'narcose', 'echoscopie', 'poliafspraak', 'verslagen']",0.22,"['scopy', 'scheduled', 'take place', 'ultrasound', 'listed', 'sedation', 'anesthesia', 'ultrasound exam', 'clinic appointment', 'reports']
",Medical,Imaging tests
131,106,131_azathioprine_daags_tablet_compres,"['azathioprine', 'daags', 'tablet', 'compres', 'klinion', 'pillen', 'bestellen', 'calci', 'sulfasalazine', 'chew']",0.22,"['azathioprine', 'per_day', 'tablet', 'compress', 'klinion', 'pills', 'order', 'calci', 'sulfasalazine', 'chew']",Medical,Medication
102,104,102_spiegel_dalspiegel_medicijnspiegel_spiegels,"['spiegel', 'dalspiegel', 'medicijnspiegel', 'spiegels', 'bekend', 'prikken', 'medicatiespiegel', 'laten', 'uitslag', 'antistoffen']",0.21,"['trough level', 'drug trough', 'medication level', 'levels', 'known', 'draw blood', 'drug level', 'let', 'result', 'antibodies']
",Medical,Blood drug levels
149,102,149_reactie_antwoord_bedankt_dank,"['reactie', 'antwoord', 'bedankt', 'dank', 'hoi', 'dankjewel', 'hallo', 'groet', 'hartelijk', 'alvast']",0.21,"['response', 'answer', 'thank you', 'thanks', 'hi', 'thanks again', 'hello', 'regards', 'kindly', 'already']
",Non-Medical,Social communication
140,100,140_stress_druk_periode_rol,"['stress', 'druk', 'periode', 'rol', 'stressvolle', 'speelt', 'brengt', 'werk', 'onderdruk', 'psycholoog']",0.21,"['stress', 'pressure', 'period', 'role', 'stressful', 'plays', 'brings', 'work', 'under_pressure', 'psychologist']",Medical,Stress
93,100,93_ogen_oogarts_oog_oogontsteking,"['ogen', 'oogarts', 'oog', 'oogontsteking', 'ontstoken', 'opticien', 'rood', 'zicht', 'droge', 'last']",0.21,"['eyes', 'ophthalmologist', 'eye', 'eye_inflammation', 'inflamed', 'optician', 'red', 'vision', 'dry', 'complaint']",Medical,Diseases
113,98,113_colitis_ulcerosa_collitis_colitus,"['colitis', 'ulcerosa', 'collitis', 'colitus', 'symptomen', 'klachten', 'vermoeden', 'opgetreden', 'jaar', 'momenteel']",0.2,"['colitis', 'ulcerosa', 'colitis', 'colitis', 'symptoms', 'complaints', 'suspect', 'occurred', 'year', 'currently']
",Medical,Diseases
100,98,100_quanton_cal_quantoncal_test,"['quanton', 'cal', 'quantoncal', 'test', 'app', 'zelftest', 'gedaan', 'telefoon', 'testen', 'downloaden']",0.2,"['quanton', 'cal', 'quantoncal', 'test', 'app', 'self_test', 'done', 'phone', 'testing', 'download']",Medical,Fecal tests
145,97,145_adres_mailadres_oude_gewijzigd,"['adres', 'mailadres', 'oude', 'gewijzigd', 'verhuisd', 'wijzigen', 'verhuizing', 'veranderd', 'email', 'veranderen']",0.2,"['address', 'email address', 'old', 'changed', 'moved', 'change', 'moving', 'modified', 'email', 'alter']
",Non-Medical,Administrative communication
154,96,154_foto_fotos_bestand_toegevoegd,"['foto', 'fotos', 'bestand', 'toegevoegd', 'groot', 'beeld', 'bijgevoegd', 'stuur', 'pdf', 'bijlage']",0.2,"['photo', 'photos', 'file', 'attached', 'large', 'image', 'attached alt', 'send', 'pdf', 'attachment']
",Non-Medical,App use
117,88,117_vedolizumab_vedoluzimab_infuus_geplend,"['vedolizumab', 'vedoluzimab', 'infuus', 'geplend', 'systeem', 'vedo', 'staat', 'naast', 'entyvio', 'spiegel']",0.18,"['vedolizumab', 'vedoluzimab', 'infusion', 'planned', 'system', 'vedo', 'listed', 'next_to', 'entyvio', 'trough_level']",Medical,Medication
147,88,147_mis_gegaan_fout_gebeuren,"['mis', 'gegaan', 'fout', 'gebeuren', 'misgegaan', 'hand', 'orde', 'nakijken', 'gaat', 'verkeerde']",0.18,"['gone', 'wrong', 'error', 'happen', 'went wrong', 'hand', 'order', 'check', 'goes', 'incorrect']
",Non-Medical,Logistical communication
138,86,138_remicade_remsima_infuus_komende,"['remicade', 'remsima', 'infuus', 'komende', 'krijg', 'volgende', 'mss', 'inflectra', 'kuurtje', 'bloedbriefjes']",0.18,"['remicade', 'remsima', 'infusion', 'coming', 'receive', 'next', 'maybe', 'inflectra', 'little_course', 'blood_slips']",Medical,Medication
148,86,148_horen_fijn_nieuws_goed,"['horen', 'fijn', 'nieuws', 'goed', 'expertise', 'toezending', 'journaal', 'gelinkt', 'super', 'fantastisch']",0.18,"['hear', 'nice', 'news', 'good', 'expertise', 'sending', 'journal', 'linked', 'great', 'fantastic']",Non-Medical,Administrative communication
137,86,137_drinken_drink_liter_gedronken,"['drinken', 'drink', 'liter', 'gedronken', 'alcohol', 'water', 'nutridrink', 'thee', 'vocht', 'vloeistof']",0.18,"['drink', 'drinking', 'liter', 'drank', 'alcohol', 'water', 'nutridrink', 'tea', 'fluid', 'liquid']",Medical,Diet
144,84,144_mvg_swinkels_kollar_alvast,"['mvg', 'swinkels', 'kollar', 'alvast', 'hoor', 'pijltjes', 'boumans', 'onderkant', 'siao', 'kim']",0.17,"['mvg', 'swinkels', 'kollar', 'already', 'hear', 'arrows', 'boumans', 'bottom', 'siao', 'kim']",Non-Medical,Social communications
111,81,111_calpro_thuistest_waarde_calprosmart,"['calpro', 'thuistest', 'waarde', 'calprosmart', 'test', 'calprotest', 'gedaan', 'uitslag', 'hoger', 'meten']",0.17,"['calpro', 'home test', 'value', 'calprosmart', 'test', 'calprotest', 'done', 'result', 'higher', 'measure']
",Medical,Home fecal tests
126,79,126_stoma_stomaverpleegkundige_verwijderd_operatie,"['stoma', 'stomaverpleegkundige', 'verwijderd', 'operatie', 'puntjes', 'darm', 'tijdelijk', 'dikke', 'opinion', 'second']",0.16,"['stoma', 'stoma nurse', 'removed', 'surgery', 'sutures', 'bowel', 'temporary', 'colon', 'opinion', 'second opinion']
",Medical,Health condition/Surgery
123,77,123_reumatoloog_reumatologie_artrose_fibromyalgie,"['reumatoloog', 'reumatologie', 'artrose', 'fibromyalgie', 'hematoloog', 'verwijzing', 'reumaverpleegkundige', 'consult', 'reuma', 'afspraak']",0.16,"['rheumatologist', 'rheumatology', 'osteoarthritis', 'fibromyalgia', 'hematologist', 'referral', 'rheuma_nurse', 'consult', 'rheumatism', 'appointment']",Medical,Diseases
127,75,127_infliximab_infuus_subcutaan_infliximap,"['infliximab', 'infuus', 'subcutaan', 'infliximap', 'dalspiegel', 'aankomende', 'volgende', 'gebruik', 'ofwel', 'krijg']",0.15,"['infliximab', 'infusion', 'subcutaneous', 'infliximap', 'trough_level', 'upcoming', 'next', 'use', 'either', 'receive']",Medical,Medications
122,74,122_ustekinumab_ustekinimab_the_injection,"['ustekinumab', 'ustekinimab', 'the', 'injection', 'spiegel', 'and', 'injectie', 'blood', 'already', 'spuit']",0.15,"['ustekinumab', 'ustekinimab', 'the', 'injection', 'trough_level', 'and', 'injection_alt', 'blood', 'already', 'shot']",Medical,Medications
146,72,146_budenofalk_budesonide_stoppen_salofalk,"['budenofalk', 'budesonide', 'stoppen', 'salofalk', 'bijsluiter', 'bijwerking', 'gebruik', 'gestopt', 'thiosix', 'netjes']",0.15,"['budenofalk', 'budesonide', 'stop', 'salofalk', 'leaflet', 'side_effect', 'use', 'stopped', 'thiosix', 'properly']",Medical,Medications
142,70,142_picoprep_moviprep_voorbereiding_instructies,"['picoprep', 'moviprep', 'voorbereiding', 'instructies', 'opgehaald', 'drinken', 'zakjes', 'recept', 'tabletjes', 'beginnen']",0.14,"['picoprep', 'moviprep', 'preparation', 'instructions', 'picked_up', 'drink', 'sachets', 'prescription', 'small_tablets', 'start']",Medical,Medications
155,69,155_beclometason_zetpillen_beclametason_beclomethason,"['beclometason', 'zetpillen', 'beclametason', 'beclomethason', 'beclamethason', 'remeron', 'mezavant', 'gestart', 'gebruik', 'duspetal']",0.14,"['beclometasone', 'suppositories', 'beclametason', 'beclomethason', 'beclamethason', 'remeron', 'mezavant', 'started', 'use', 'duspetal']",Medical,Medications
156,66,156_opvlamming_warmte_broeien_angst,"['opvlamming', 'warmte', 'broeien', 'angst', 'geachte', 'voelt', 'bijvoorbeeld', 'nou', 'gerookt', 'worm']",0.14,"['flare', 'warmth', 'smoldering', 'anxiety', 'dear', 'feels', 'for_example', 'well', 'smoked', 'worm']",Medical,Flares